verb_class,TokenSet,pictures showing (in)complete scenrios,subject,verb,result,le,Num_CL,object,period,target sentences,response,scenario,,
,8,incomplete,他,切,,了,一顆,洋蔥,。,他切了一顆洋蔥。,T,,an onion half sliced,
,8,complete,他,切,完,了,一顆,洋蔥,。,他切完了一顆洋蔥。,T,,an onion fully sliced ,
,8,incomplete,他,切,完,了,一顆,洋蔥,。,他切完了一顆洋蔥。,F,,an onion fully sliced ,
,9,complete,他,油漆,,了,一面,牆,。,他油漆了一面牆。,T,He painted a wall,a wall fully painted,
,9,incomplete,他,油漆,,了,一面,牆,。,他油漆了一面牆。,T,He painted a corner of a wall,a wall half painted,
,9,complete,他,油漆,完,了,一面,牆,。,他油漆完了一面牆。,T,,a wall fully painted,
,9,incomplete,他,油漆,完,了,一面,牆,。,他油漆完了一面牆。,F,,a wall fully painted,
,10,complete,他,燒,,了,一封,信件,。,他燒了一封信件。,T,,a letter fully burned,
,10,incomplete,他,燒,,了,一封,信件,。,他燒了一封信件。,T,,a letter half burned,
,10,complete,他,燒,掉,了,一封,信件,。,他燒掉了一封信件。,T,,a letter fully burned,
,10,incomplete,他,燒,掉,了,一封,信件,。,他燒掉了一封信件。,F,,a letter fully burned,
,11,complete,他,削,,了,一顆,梨子,。,他削了一顆梨子。,T,,,
,11,incomplete,他,削,,了,一顆,梨子,。,他削了一顆梨子。,T,,,
,11,complete,他,削,好,了,一顆,梨子,。,他削好了一顆梨子。,T,,,
,11,incomplete,他,削,好,了,一顆,梨子,。,他削好了一顆梨子。,F,,,
,12,complete,他,剝,,了,一顆,橘子,。,他剝了一顆橘子。,T,He peeled an orange,an orange fully peeled,剝跟削的英文好像都是peel??
,12,incomplete,他,剝,,了,一顆,橘子,。,他剝了一顆橘子。,T,He peeled a part of an orange,an orange half peeled,
,12,complete,他,剝,好,了,一顆,橘子,。,他剝好了一顆橘子。,T,,an orange fully peeled,
,12,incomplete,他,剝,好,了,一顆,橘子,。,他剝好了一顆橘子。,F,,an orange fully peeled,
,,,他,烤,,了,一個,三明治,。,他烤了一個三明治。,T,,a sandwich fully toasted,
,,,他,烤,,了,一個,三明治,。,他烤了一個三明治。,T,,a sandwich half toasted,
,,,他,烤,好,了,一個,三明治,。,他烤好了一個三明治。,T,,a sandwich fully toasted,
,,,他,烤,好,了,一個,三明治,。,他烤好了一個三明治。,F,,a sandwich fully toasted,
,,,,,,,,,,,,,,
,,,,蓋,住,,,,,,,,,
,,,他,包裝,,了,,,。,他包裝了。,T,,,
,,,他,包裝,,了,,,。,他包裝了。,T,,,
,,,他,包裝,好,了,,,。,他包裝好了。,T,,,
,,,他,包裝,好,了,,,。,他包裝好了。,F,,,
